Price (TL),Room,Size (m²),Building Age,IL,ILCE,Neighborhood
35000,5+1,280,12.0,Ankara,Altındağ,Aydınlıkevler Mah.
22500,3+1,115,20.0,Ankara,Keçiören,Emrah Mah.
14000,3+1,117,15.0,Ankara,Etimesgut,Yapracık Mah.
26000,3+1,120,8.0,Ankara,Mamak,Mehtap Mah.
32000,3+1,120,31.0,Ankara,Çankaya,Ayrancı Mah.
14000,2+1,75,2.0,Ankara,Çubuk,Esenboğa Merkez Mah.
8500,1+1,55,10.0,Ankara,Sincan,Hürriyet Mah.
16000,3+1,125,16.0,Ankara,Pursaklar,Fatih Mah.
27000,3+1,170,19.0,Ankara,Çankaya,Birlik Mah.
22000,2+1,85,25.0,Ankara,Çankaya,Metin Oktay Mah.
25000,2+1,80,45.0,Ankara,Çankaya,Seyranbağları Mah.
20500,2+1,100,20.0,Ankara,Gölbaşı,Bahçelievler Mah.
22500,3+1,110,35.0,Ankara,Keçiören,Aşağı Eğlence Mah.
13000,3+1,105,10.0,Ankara,Keçiören,Bademlik Mah.
28000,3+1,105,30.0,Ankara,Çankaya,Balgat Mah.
17000,3+1,140,26.0,Ankara,Yenimahalle,Demetlale Mah.
22000,3+1,110,45.0,Ankara,Çankaya,Tınaztepe Mah.
20000,3+1,130,21.0,Ankara,Keçiören,Aşağı Eğlence Mah.
30000,3+1,120,12.0,Ankara,Çankaya,Seyranbağları Mah.
10000,3+1,145,15.0,Ankara,Nallıhan,Çayırhan Mah.
14000,3+1,128,30.0,Ankara,Sincan,Osmanlı Mah.
33000,1+1,55,25.0,Ankara,Çankaya,Büyükesat Mah.
16000,3+1,130,15.0,Ankara,Keçiören,Etlik Mah.
27500,3+1,135,19.0,Ankara,Etimesgut,Ahi Mesut Mah.
8500,1+1,45,10.0,Ankara,Sincan,Hürriyet Mah.
22500,3+1,120,16.0,Ankara,Etimesgut,30 Ağustos Mah.
33000,2+1,55,25.0,Ankara,Çankaya,Büyükesat Mah.
21500,2+1,110,,Ankara,Etimesgut,Topçu Mah.
30000,2+1,100,40.0,Ankara,Çankaya,Yücetepe Mah.
23000,1+1,60,10.0,Ankara,Etimesgut,Şehit Osman Avcı Mah.
25000,3+1,110,25.0,Ankara,Çankaya,Naci Çakır Mah.
40000,6+1,225,19.0,Ankara,Çankaya,Gökkuşağı Mah.
62000,5+2,325,11.0,Ankara,Yenimahalle,Yeni Batı Mah.
36000,4+1,155,24.0,Ankara,Çankaya,İşçi Blokları Mah.
15000,3+1,125,18.0,Ankara,Mamak,Şahintepe Mah.
19000,2+1,90,10.0,Ankara,Altındağ,Aydınlıkevler Mah.
16500,3+1,120,26.0,Ankara,Sincan,Mareşal Çakmak Mah.
28000,1+1,60,2.0,Ankara,Çankaya,Anıttepe Mah.
14500,2+1,95,25.0,Ankara,Sincan,Mareşal Çakmak Mah.
21000,3+1,120,28.0,Ankara,Keçiören,Etlik Mah.
27000,3+1,150,3.0,Ankara,Çankaya,Akpınar Mah.
58000,4+1,186,2.0,Ankara,Çankaya,Konutkent Mah.
20000,3+1,120,48.0,Ankara,Keçiören,Basınevleri Mah.
19000,2+1,85,25.0,Ankara,Çankaya,Tınaztepe Mah.
19500,2+1,100,25.0,Ankara,Çankaya,Ata Mah.
50000,2+1,70,,Ankara,Çankaya,Kazım Özalp Mah.
22000,3+1,100,30.0,Ankara,Keçiören,Adnan Menderes Mah.
17400,2+1,90,15.0,Ankara,Etimesgut,Alsancak Mah.
16000,3+1,135,35.0,Ankara,Yenimahalle,Demetevler Mah.
35000,4+1,150,24.0,Ankara,Yenimahalle,Kentkoop Mah.
30000,1+1,55,10.0,Ankara,Çankaya,Prof. Dr. Ahmet Taner Kışlalı Mah.
22000,3+1,150,4.0,Ankara,Sincan,Menderes Mah.
33000,3+1,115,27.0,Ankara,Çankaya,Göktürk Mah.
18000,3+1,125,15.0,Ankara,Keçiören,Esertepe Mah.
28500,3+1,120,42.0,Ankara,Çankaya,Gaziosmanpaşa Mah.
35000,5+1,285,21.0,Ankara,Çankaya,Gökkuşağı Mah.
22500,3+1,110,17.0,Ankara,Çankaya,Keklik Pınarı Mah.
39000,4+2,280,30.0,Ankara,Yenimahalle,Uğur Mumcu Mah.
26000,3+1,130,35.0,Ankara,Çankaya,Aziziye Mah.
22500,3+1,130,25.0,Ankara,Çankaya,Harbiye Mah.
18500,3+1,110,25.0,Ankara,Yenimahalle,Demetlale Mah.
15250,3+1,120,18.0,Ankara,Mamak,Peyami Safa Mah.
38000,5+1,325,15.0,Ankara,Çankaya,Öveçler Mah.
32000,4+1,187,24.0,Ankara,Çankaya,Birlik Mah.
30000,3+1,140,15.0,Ankara,Etimesgut,Ahi Mesut Mah.
12000,2+1,85,28.0,Ankara,Altındağ,Örnek Mah.
