Price (TL),Room,Size (m²),Building Age,IL,ILCE,Neighborhood
30000,2+1,55,,Ankara,Çankaya,Fakülteler Mah.
16500,1+1,55,,Ankara,Gölbaşı,İncek Mah.
24000,3+1,120,35.0,Ankara,Çankaya,Ön Cebeci Mah.
31500,3+1,145,15.0,Ankara,Etimesgut,Bağlıca Mah.
35000,1+1,125,35.0,Ankara,Çankaya,Büyükesat Mah.
30000,3+1,155,19.0,Ankara,Yenimahalle,Demetgül Mah.
19000,3+1,125,530.0,Ankara,Yenimahalle,Demetgül Mah.
18000,2+1,110,40.0,Ankara,Altındağ,Aydınlıkevler Mah.
18000,2+1,110,35.0,Ankara,Keçiören,Aşağı Eğlence Mah.
13000,3+1,105,10.0,Ankara,Keçiören,Bademlik Mah.
18000,3+1,115,29.0,Ankara,Keçiören,Ayvalı Mah.
12000,3+1,145,3.0,Ankara,Sincan,Alcı Mah.
32000,3+1,100,38.0,Ankara,Çankaya,Emek Mah.
20000,2+1,89,29.0,Ankara,Çankaya,Cebeci Mah.
13000,2+1,90,20.0,Ankara,Keçiören,Kuşcağız Mah.
32000,3+1,135,36.0,Ankara,Çankaya,Remzi Oğuz Arık Mah.
21500,3+1,135,15.0,Ankara,Etimesgut,İstasyon Mah.
23500,3+1,100,26.0,Ankara,Çankaya,Şehit Cevdet Özdemir Mah.
28500,3+1,130,50.0,Ankara,Çankaya,Küçükesat Mah.
28500,3+1,130,50.0,Ankara,Çankaya,Küçükesat Mah.
25000,2+1,80,45.0,Ankara,Çankaya,Yücetepe Mah.
31000,3+1,120,35.0,Ankara,Çankaya,Emek Mah.
24750,1+1,80,3.0,Ankara,Çankaya,Alacaatlı Mah.
28000,3+1,135,28.0,Ankara,Çankaya,Aşağı Öveçler Mah.
30000,3+1,125,40.0,Ankara,Çankaya,Bahçelievler Mah.
28000,2+1,85,35.0,Ankara,Çankaya,Emek Mah.
22500,3+1,135,30.0,Ankara,Altındağ,Hacettepe Mah.
29500,1+1,50,2.0,Ankara,Çankaya,Beytepe Mah.
27000,1+1,70,1.0,Ankara,Çankaya,Büyükesat Mah.
21000,3+1,130,17.0,Ankara,Etimesgut,Topçu Mah.
30000,3+10,110,45.0,Ankara,Çankaya,Emek Mah.
18000,3+1,120,38.0,Ankara,Yenimahalle,Demetevler Mah.
20000,2+1,75,30.0,Ankara,Çankaya,Emek Mah.
20000,3+1,125,35.0,Ankara,Çankaya,Sokullu Mehmet Paşa Mah.
25000,3+1,140,8.0,Ankara,Çankaya,Karapınar Mah.
25000,2+1,80,35.0,Ankara,Çankaya,Bahçelievler Mah.
21500,3+1,135,19.0,Ankara,Etimesgut,Piyade Mah.
13250,2+1,85,25.0,Ankara,Keçiören,Hasköy Mah.
20500,3+1,130,7.0,Ankara,Altındağ,Güneşevler Mah.
22000,3+1,110,25.0,Ankara,Çankaya,Mürsel Uluç Mah.
17000,3+1,140,26.0,Ankara,Yenimahalle,Demetlale Mah.
18000,3+1,115,21.0,Ankara,Yenimahalle,Demetgül Mah.
32000,3+1,130,45.0,Ankara,Çankaya,Ayrancı Mah.
23000,1+1,45,5.0,Ankara,Yenimahalle,Gazi Mah.
28000,3+1,150,21.0,Ankara,Çankaya,Birlik Mah.
25000,3+1,110,30.0,Ankara,Mamak,Demirlibahçe Mah.
26000,2+1,85,50.0,Ankara,Çankaya,Emek Mah.
17500,3+1,100,24.0,Ankara,Altındağ,Aydınlıkevler Mah.
25000,2+1,90,45.0,Ankara,Çankaya,Yücetepe Mah.
24000,3+1,110,27.0,Ankara,Çankaya,Oğuzlar Mah.
18500,2+1,100,30.0,Ankara,Çankaya,Seyranbağları Mah.
15000,3+1,105,25.0,Ankara,Keçiören,Tepebaşı Mah.
16500,3+1,110,17.0,Ankara,Etimesgut,Topçu Mah.
27000,3+1,135,17.0,Ankara,Yenimahalle,İlkyerleşim Mah.
33000,3+1,125,15.0,Ankara,Çankaya,Bahçelievler Mah.
25000,3+1,130,24.0,Ankara,Çankaya,Birlik Mah.
19500,1+1,60,7.0,Ankara,Çankaya,Ahlatlıbel Mah.
20000,3+1,125,35.0,Ankara,Yenimahalle,Demetlale Mah.
15500,2+1,90,15.0,Ankara,Etimesgut,Alsancak Mah.
36000,4+1,200,4.0,Ankara,Altındağ,Güneşevler Mah.
45000,3+1,140,30.0,Ankara,Çankaya,Yukarı Bahçelievler Mah.
25000,3+1,125,30.0,Ankara,Çankaya,Sokullu Mehmet Paşa Mah.
22000,3+1,115,22.0,Ankara,Çankaya,Naci Çakır Mah.
25500,4+1,160,20.0,Ankara,Çankaya,Birlik Mah.
23000,1+1,70,4.0,Ankara,Çankaya,Büyükesat Mah.
15000,3+1,100,27.0,Ankara,Keçiören,Aşağı Eğlence Mah.
12000,1+1,45,25.0,Ankara,Çankaya,Osman Temiz Mah.
23000,3+1,110,40.0,Ankara,Mamak,Balkiraz Mah.
28000,3+1,100,40.0,Ankara,Çankaya,Emek Mah.
14000,3+1,135,12.0,Ankara,Etimesgut,Yapracık Mah.
23000,2+1,100,45.0,Ankara,Çankaya,Bahçelievler Mah.
30000,4+1,150,25.0,Ankara,Çankaya,Hilal Mah.
13500,3+1,105,25.0,Ankara,Keçiören,19 Mayıs Mah.
14500,2+1,75,17.0,Ankara,Etimesgut,Topçu Mah.
32000,1+1,90,15.0,Ankara,Çankaya,Emek Mah.
30000,1+1,55,31.0,Ankara,Çankaya,Meşrutiyet Mah.
19000,2+1,120,35.0,Ankara,Çankaya,Sokullu Mehmet Paşa Mah.
29000,4+4,150,28.0,Ankara,Çankaya,İlkadım Mah.
16000,2+1,85,16.0,Ankara,Etimesgut,Alsancak Mah.
20000,3+1,112,14.0,Ankara,Gölbaşı,Eymir Mah.
17500,2+1,110,14.0,Ankara,Mamak,Cengizhan Mah.
120000,6+1,750,15.0,Ankara,Çankaya,Alacaatlı Mah.
32000,3+1,130,26.0,Ankara,Keçiören,Aşağı Eğlence Mah.
16500,2+1,120,19.0,Ankara,Keçiören,Esertepe Mah.
30000,3+1,130,19.0,Ankara,Yenimahalle,Esentepe Mah.
28000,3+1,110,25.0,Ankara,Çankaya,Umut Mah.
20500,3+1,125,30.0,Ankara,Çankaya,Aydınlar Mah.
19000,3+1,120,30.0,Ankara,Mamak,Demirlibahçe Mah.
75000,5+1,265,21.0,Ankara,Çankaya,Oran Mah.
20350,3+1,120,23.0,Ankara,Mamak,General Zeki Doğan Mah.
18000,3+1,125,15.0,Ankara,Keçiören,Çiçekli Mah.
25000,3+1,125,35.0,Ankara,Keçiören,Aşağı Eğlence Mah.
18000,3+1,125,15.0,Ankara,Keçiören,Çiçekli Mah.
15500,2+1,97,13.0,Ankara,Sincan,Akşemsettin Mah.
47500,5+1,230,45.0,Ankara,Çankaya,Aziziye Mah.
22500,3+1,105,18.0,Ankara,Keçiören,Ayvalı Mah.
26000,1+1,55,6.0,Ankara,Yenimahalle,Ergazi Mah.
18000,2+1,100,40.0,Ankara,Mamak,Balkiraz Mah.
20000,1+1,55,1.0,Ankara,Gölbaşı,İncek Mah.
14500,2+1,110,48.0,Ankara,Altındağ,Aydınlıkevler Mah.
20000,3+1,105,29.0,Ankara,Mamak,Saimekadın Mah.
30000,2+1,70,,Ankara,Gölbaşı,Taşpınar Mah.
17000,1+1,75,,Ankara,Çankaya,Mürsel Uluç Mah.
40000,3+1,125,2.0,Ankara,Yenimahalle,Yeni Batı Mah.
24000,1+1,55,,Ankara,Çankaya,Metin Oktay Mah.
13000,2+1,96,11.0,Ankara,Etimesgut,Yapracık Mah.
25000,3+1,145,20.0,Ankara,Yenimahalle,Pamuklar Mah.
18000,3+1,110,20.0,Ankara,Keçiören,Uyanış Mah.
18500,3+1,120,25.0,Ankara,Gölbaşı,Seğmenler Mah.
13750,3+1,120,28.0,Ankara,Keçiören,Şenlik Mah.
34000,4+1,130,1.0,Ankara,Gölbaşı,İncek Mah.
22500,2+1,85,30.0,Ankara,Altındağ,Aydınlıkevler Mah.
29500,3+1,135,25.0,Ankara,Çankaya,Osman Temiz Mah.
14500,3+1,120,25.0,Ankara,Keçiören,Etlik Mah.
28500,2+1,120,15.0,Ankara,Keçiören,Tepebaşı Mah.
22500,3+1,125,20.0,Ankara,Keçiören,Şenlik Mah.
25000,3+1,135,15.0,Ankara,Yenimahalle,Barıştepe Mah.
40000,3+1,105,,Ankara,Çankaya,Emek Mah.
21000,3+1,145,8.0,Ankara,Mamak,Üreğil Mah.
20000,3+1,135,25.0,Ankara,Yenimahalle,Çarşı Mah.
25000,2+1,95,12.0,Ankara,Etimesgut,Tunahan Mah.
26000,2+1,110,28.0,Ankara,Etimesgut,Atakent Mah.
21000,3+1,135,15.0,Ankara,Keçiören,Bağlarbaşı Mah.
72000,4+1,230,3.0,Ankara,Çankaya,Beytepe Mah.
15000,3+1,120,35.0,Ankara,Yenimahalle,Demetgül Mah.
25000,3+1,130,25.0,Ankara,Yenimahalle,Demetevler Mah.
60000,4+1,210,15.0,Ankara,Çankaya,Çukurambar Mah.
20000,3+1,140,33.0,Ankara,Yenimahalle,Demetevler Mah.
21500,3+1,90,27.0,Ankara,Etimesgut,Tunahan Mah.
30000,3+1,110,30.0,Ankara,Çankaya,100. Yıl Mah.
30000,3+1,143,,Ankara,Mamak,Türközü Mah.
55000,2+1,80,1.0,Ankara,Çankaya,Güvenevler Mah.
59000,4+1,230,4.0,Ankara,Çankaya,Alacaatlı Mah.
45000,2+1,145,14.0,Ankara,Çankaya,İşçi Blokları Mah.
45000,4+1,180,4.0,Ankara,Gölbaşı,Seğmenler Mah.
40000,2+1,120,10.0,Ankara,Çankaya,Yaşamkent Mah.
35000,3+1,135,15.0,Ankara,Çankaya,Akpınar Mah.
18000,3+1,130,14.0,Ankara,Mamak,General Zeki Doğan Mah.
31000,3+1,130,25.0,Ankara,Yenimahalle,Beştepe Mah.
31000,3+1,130,25.0,Ankara,Yenimahalle,Beştepe Mah.
45000,4+1,180,20.0,Ankara,Çankaya,Çukurambar Mah.
15000,2+1,95,,Ankara,Sincan,Fevzi Çakmak Mah.
45000,3+1,140,3.0,Ankara,Yenimahalle,Turgut Özal Mah.
25000,3+1,125,10.0,Ankara,Keçiören,Kanuni Mah.
18000,3+1,120,30.0,Ankara,Keçiören,Ayvalı Mah.
20000,1+1,80,,Ankara,Keçiören,Aşağı Eğlence Mah.
19000,1+1,50,,Ankara,Gölbaşı,Taşpınar Mah.
21000,2+1,95,,Ankara,Gölbaşı,İncek Mah.
20000,2+1,110,10.0,Ankara,Keçiören,Yükseltepe Mah.
31000,1+1,100,15.0,Ankara,Çankaya,İlkbahar Mah.
30000,1+1,60,25.0,Ankara,Çankaya,Yukarı Bahçelievler Mah.
24000,3+1,130,25.0,Ankara,Çankaya,Huzur Mah.
20000,3+1,130,30.0,Ankara,Yenimahalle,Demetlale Mah.
17000,2+1,79,29.0,Ankara,Yenimahalle,Emniyet Mah.
60000,4+1,180,35.0,Ankara,Yenimahalle,Mehmet Akif Ersoy Mah.
23000,1+1,65,10.0,Ankara,Etimesgut,Şehit Osman Avcı Mah.
16100,3+1,115,45.0,Ankara,Keçiören,Şenlik Mah.
20000,4+1,224,8.0,Ankara,Polatlı,Şehitlik Mah.
32000,5+1,250,20.0,Ankara,Çankaya,Aşıkpaşa Mah.
25000,2+1,110,33.0,Ankara,Yenimahalle,Demetlale Mah.
25000,4+1,155,15.0,Ankara,Çankaya,Karapınar Mah.
35000,3+1,120,28.0,Ankara,Çankaya,Keklik Pınarı Mah.
21000,3+1,145,14.0,Ankara,Yenimahalle,Çiğdemtepe Mah.
21000,3+1,145,14.0,Ankara,Yenimahalle,Çiğdemtepe Mah.
18000,3+1,120,25.0,Ankara,Sincan,Mareşal Çakmak Mah.
29000,3+1,140,10.0,Ankara,Keçiören,Kuşcağız Mah.
16000,3+1,120,10.0,Ankara,Altındağ,Karapürçek Mah.
19000,3+1,130,15.0,Ankara,Etimesgut,Topçu Mah.
20000,2+1,96,10.0,Ankara,Mamak,Altınevler Mah.
19000,2+1,85,20.0,Ankara,Etimesgut,Elvan Mah.
23000,3+1,110,35.0,Ankara,Çankaya,Çamlıtepe Mah.
25500,3+1,100,30.0,Ankara,Yenimahalle,Demetgül Mah.
41000,4+1,230,4.0,Ankara,Keçiören,Atapark Mah.
23500,3+1,120,7.0,Ankara,Keçiören,Yükseltepe Mah.
15000,1+1,78,30.0,Ankara,Altındağ,Aydınlıkevler Mah.
22000,3+1,145,10.0,Ankara,Altındağ,Güneşevler Mah.
26500,1+1,85,,Ankara,Çankaya,Ertuğrulgazi Mah.
17000,3+1,125,30.0,Ankara,Sincan,Ulubatlı Hasan Mah.
20000,1+1,55,,Ankara,Gölbaşı,İncek Mah.
27000,3+1,145,30.0,Ankara,Altındağ,Zübeyde Hanım Mah.
20000,3+1,135,3.0,Ankara,Mamak,Akşemsettin Mah.
40000,6+1,200,15.0,Ankara,Keçiören,Ayvalı Mah.
18000,3+1,120,15.0,Ankara,Mamak,Akdere Mah.
40000,4+1,190,,Ankara,Yenimahalle,Ata Mah.
25000,3+1,135,20.0,Ankara,Çankaya,Mürsel Uluç Mah.
30000,3+1,110,25.0,Ankara,Keçiören,Aşağı Eğlence Mah.
26000,3+1,160,16.0,Ankara,Çankaya,Kırkkonaklar Mah.
19000,3+1,145,6.0,Ankara,Mamak,Kutlu Mah.
17500,3+1,128,15.0,Ankara,Çankaya,Kırkkonaklar Mah.
21000,3+1,140,25.0,Ankara,Çankaya,İncesu Mah.
30000,3+1,170,15.0,Ankara,Çankaya,Hilal Mah.
20500,1+1,50,,Ankara,Çankaya,Metin Oktay Mah.
20000,3+1,129,25.0,Ankara,Keçiören,Tepebaşı Mah.
25000,3+1,110,25.0,Ankara,Etimesgut,Güzelkent Mah.
25500,2+1,95,30.0,Ankara,Yenimahalle,Kentkoop Mah.
26000,3+1,130,30.0,Ankara,Keçiören,Aşağı Eğlence Mah.
47500,2+1,106,1.0,Ankara,Yenimahalle,İnönü Mah.
18000,3+1,110,10.0,Ankara,Sincan,Pınarbaşı Mah.
20000,3+1,150,1.0,Ankara,Sincan,Mustafa Kemal Mah.
22000,3+1,110,20.0,Ankara,Çankaya,Huzur Mah.
20000,2+1,100,40.0,Ankara,Çankaya,Fakülteler Mah.
17500,1+1,100,14.0,Ankara,Mamak,Peyami Safa Mah.
81000,2+1,126,6.0,Ankara,Çankaya,Söğütözü Mah.
24000,3+1,150,1.0,Ankara,Mamak,Yeşilbayır Mah.
40000,3+1,95,35.0,Ankara,Çankaya,Maltepe Mah.
13000,2+1,86,13.0,Ankara,Etimesgut,Atayurt Mah.
30000,3+1,120,25.0,Ankara,Çankaya,Muhsin Ertuğrul Mah.
17000,3+1,135,10.0,Ankara,Mamak,Fahri Korutürk Mah.
23000,2+1,95,32.0,Ankara,Yenimahalle,Uğur Mumcu Mah.
21000,3+1,115,20.0,Ankara,Mamak,Aşık Veysel Mah.
41000,4+1,180,9.0,Ankara,Etimesgut,Yeni Bağlıca Mah.
17500,3+1,135,8.0,Ankara,Sincan,Mustafa Kemal Mah.
20000,3+1,120,25.0,Ankara,Etimesgut,Oğuzlar Mah.
38000,3+1,165,13.0,Ankara,Yenimahalle,Turgut Özal Mah.
27000,3+1,135,15.0,Ankara,Mamak,Ege Mah.
26500,3+1,125,10.0,Ankara,Gölbaşı,Karşıyaka Mah.
32000,3+1,100,26.0,Ankara,Yenimahalle,İlkyerleşim Mah.
47500,4+1,210,18.0,Ankara,Çankaya,Alacaatlı Mah.
14000,3+1,118,12.0,Ankara,Etimesgut,Yapracık Mah.
40000,3+1,150,26.0,Ankara,Çankaya,Büyükesat Mah.
18500,3+1,145,5.0,Ankara,Altındağ,Başpınar Mah.
19000,3+1,135,10.0,Ankara,Mamak,Durali Alıç Mah.
23000,3+1,125,30.0,Ankara,Keçiören,Şenlik Mah.
17500,3+1,125,14.0,Ankara,Etimesgut,Süvari Mah.
16500,2+1,100,35.0,Ankara,Yenimahalle,Demetlale Mah.
18000,3+1,125,35.0,Ankara,Çankaya,Korkutreis Mah.
18000,3+1,125,30.0,Ankara,Keçiören,Ayvalı Mah.
35000,2+1,115,45.0,Ankara,Çankaya,Güzeltepe Mah.
21500,3+1,100,35.0,Ankara,Çankaya,Balgat Mah.
19500,1+1,50,25.0,Ankara,Etimesgut,Tunahan Mah.
22000,3+1,125,20.0,Ankara,Yenimahalle,Batı Sitesi Mah.
17500,2+1,95,,Ankara,Yenimahalle,Güventepe Mah.
20000,3+1,120,20.0,Ankara,Keçiören,Etlik Mah.
69000,4+1,220,15.0,Ankara,Çankaya,Söğütözü Mah.
50000,3+1,180,16.0,Ankara,Çankaya,Yaşamkent Mah.
24000,1+1,55,10.0,Ankara,Yenimahalle,Ergazi Mah.
18500,2+1,85,35.0,Ankara,Mamak,Balkiraz Mah.
25900,3+1,128,29.0,Ankara,Çankaya,Oğuzlar Mah.
28500,3+1,180,25.0,Ankara,Yenimahalle,Varlık Mah.
22000,3+1,155,7.0,Ankara,Sincan,Menderes Mah.
35000,3+1,160,25.0,Ankara,Çankaya,Emek Mah.
45000,4+1,200,6.0,Ankara,Çankaya,Emek Mah.
33000,2+1,116,2.0,Ankara,Etimesgut,Devlet Mah.
17000,3+1,121,27.0,Ankara,Sincan,Fatih Mah.
27000,3+1,105,30.0,Ankara,Çankaya,Keklik Pınarı Mah.
25000,2+1,90,32.0,Ankara,Çankaya,Emek Mah.
18000,3+1,120,30.0,Ankara,Keçiören,Ayvalı Mah.
24300,3+1,125,20.0,Ankara,Çankaya,Bademlidere Mah.
32500,2+1,115,3.0,Ankara,Yenimahalle,Emniyet Mah.
27000,3+1,140,42.0,Ankara,Çankaya,Kültür Mah.
15000,3+1,130,32.0,Ankara,Keçiören,Güçlükaya Mah.
15500,1+1,50,,Ankara,Gölbaşı,İncek Mah.
19000,4+1,190,8.0,Ankara,Polatlı,Fatih Mah.
21500,1+1,48,,Ankara,Gölbaşı,Taşpınar Mah.
25850,3+1,140,15.0,Ankara,Etimesgut,Yavuz Selim Mah.
32000,2+1,105,37.0,Ankara,Çankaya,Kavaklıdere Mah.
16500,2+1,95,8.0,Ankara,Etimesgut,Atayurt Mah.
30000,2+1,75,28.0,Ankara,Yenimahalle,Varlık Mah.
31000,4+1,160,20.0,Ankara,Çankaya,Karapınar Mah.
26000,3+1,140,25.0,Ankara,Keçiören,Güçlükaya Mah.
27500,4+1,180,26.0,Ankara,Çankaya,Malazgirt Mah.
34000,2+1,55,,Ankara,Çankaya,100. Yıl Mah.
16500,3+1,125,15.0,Ankara,Etimesgut,Süvari Mah.
30000,3+1,135,35.0,Ankara,Çankaya,Maltepe Mah.
32000,1+1,45,,Ankara,Çankaya,Kazım Özalp Mah.
55000,3+1,185,15.0,Ankara,Çankaya,Yıldızevler Mah.
35000,1+1,70,5.0,Ankara,Çankaya,İlkbahar Mah.
29000,3+1,160,20.0,Ankara,Keçiören,Ayvalı Mah.
13000,3+1,100,35.0,Ankara,Çankaya,İncesu Mah.
525000,4+1,155,35.0,Ankara,Çankaya,Remzi Oğuz Arık Mah.
42000,2+1,110,30.0,Ankara,Çankaya,Barbaros Mah.
20000,3+1,115,26.0,Ankara,Yenimahalle,Demetevler Mah.
30000,3+1,135,30.0,Ankara,Çankaya,İlkbahar Mah.
23000,3+1,117,25.0,Ankara,Çankaya,Keklik Pınarı Mah.
40000,1+1,64,,Ankara,Yenimahalle,İnönü Mah.
30000,4+1,170,15.0,Ankara,Çankaya,Karapınar Mah.
63000,4+1,190,15.0,Ankara,Yenimahalle,Beştepe Mah.
26500,3+1,110,25.0,Ankara,Altındağ,Zübeyde Hanım Mah.
15000,3+1,105,40.0,Ankara,Mamak,Demirlibahçe Mah.
40000,4+1,175,18.0,Ankara,Etimesgut,Göksu Mah.
23000,3+1,135,24.0,Ankara,Çankaya,Huzur Mah.
33950,1+1,82,,Ankara,Çankaya,Beytepe Mah.
65000,8+1,412,4.0,Ankara,Çankaya,Beytepe Mah.
18000,3+1,110,30.0,Ankara,Keçiören,Kavacık Subayevleri Mah.
25500,3+1,135,27.0,Ankara,Yenimahalle,Ergazi Mah.
42000,5+1,230,28.0,Ankara,Çankaya,Umut Mah.
37000,3+1,135,25.0,Ankara,Çankaya,Ehlibeyt Mah.
35000,4+1,165,40.0,Ankara,Çankaya,Yukarı Bahçelievler Mah.
18500,2+1,75,1.0,Ankara,Sincan,Andiçen Mah.
30000,4+1,260,10.0,Ankara,Mamak,Durali Alıç Mah.
20000,3+1,115,35.0,Ankara,Çankaya,Küçükesat Mah.
15500,3+1,110,16.0,Ankara,Çankaya,Aşağı Öveçler Mah.
19000,2+1,90,20.0,Ankara,Etimesgut,Tunahan Mah.
32000,3+1,120,35.0,Ankara,Çankaya,Bahçelievler Mah.
19500,1+1,120,35.0,Ankara,Keçiören,Aşağı Eğlence Mah.
20000,3+1,148,35.0,Ankara,Çankaya,Metin Oktay Mah.
29000,3+1,135,50.0,Ankara,Çankaya,Ayrancı Mah.
23000,1+1,65,4.0,Ankara,Çankaya,Alacaatlı Mah.
25000,3+1,115,25.0,Ankara,Yenimahalle,Ergazi Mah.
18000,1+1,71,25.0,Ankara,Etimesgut,Tunahan Mah.
26000,3+1,125,15.0,Ankara,Çankaya,Ata Mah.
67000,6+1,254,,Ankara,Gölbaşı,Kızılcaşar Mah.
15500,1+1,70,1.0,Ankara,Pursaklar,Saray Fatih Mah.
25000,3+1,145,16.0,Ankara,Çankaya,Huzur Mah.
22500,3+1,140,10.0,Ankara,Altındağ,Karapürçek Mah.
22000,3+1,140,10.0,Ankara,Mamak,Cengizhan Mah.
25000,3+1,110,25.0,Ankara,Çankaya,Oğuzlar Mah.
32000,2+1,95,8.0,Ankara,Yenimahalle,Yeni Batı Mah.
54000,4+1,196,8.0,Ankara,Çankaya,İlkbahar Mah.
22000,2+1,90,30.0,Ankara,Çankaya,Büyükesat Mah.
35000,4+1,175,12.0,Ankara,Yenimahalle,Turgut Özal Mah.
20000,3+1,145,5.0,Ankara,Mamak,Şahintepe Mah.
70000,4+1,200,12.0,Ankara,Çankaya,Ayrancı Mah.
40000,3+1,110,,Ankara,Çankaya,Anıttepe Mah.
40000,4+1,185,5.0,Ankara,Mamak,Ege Mah.
23000,2+1,100,25.0,Ankara,Yenimahalle,İlkyerleşim Mah.
55000,4+1,170,24.0,Ankara,Çankaya,Büyükesat Mah.
22000,4+1,185,10.0,Ankara,Keçiören,Yayla Mah.
17000,3+1,125,21.0,Ankara,Keçiören,Kuşcağız Mah.
19000,3+1,115,5.0,Ankara,Mamak,Mehtap Mah.
45000,2+1,75,8.0,Ankara,Çankaya,Güvenevler Mah.
20000,4+1,200,6.0,Ankara,Polatlı,Fatih Mah.
12500,3+1,120,27.0,Ankara,Keçiören,Pınarbaşı Mah.
32000,2+1,100,6.0,Ankara,Etimesgut,Şeker Mah.
25000,2+1,80,,Ankara,Gölbaşı,Karşıyaka Mah.
23000,3+1,135,18.0,Ankara,Sincan,Törekent Mah.
18000,2+1,100,30.0,Ankara,Keçiören,Tepebaşı Mah.
40000,4+1,180,14.0,Ankara,Yenimahalle,Turgut Özal Mah.
26500,2+1,79,,Ankara,Çankaya,İlkadım Mah.
20000,1+1,55,27.0,Ankara,Etimesgut,Şeyh Şamil Mah.
34000,2+1,75,5.0,Ankara,Çankaya,Mebusevleri Mah.
55000,5+1,210,19.0,Ankara,Çankaya,Mutlukent Mah.
20000,3+1,120,34.0,Ankara,Çankaya,Tınaztepe Mah.
16000,3+1,110,25.0,Ankara,Etimesgut,Oğuzlar Mah.
22000,2+1,75,40.0,Ankara,Çankaya,Emek Mah.
15500,2+1,115,22.0,Ankara,Etimesgut,Oğuzlar Mah.
40000,3+1,130,30.0,Ankara,Çankaya,100. Yıl Mah.
37000,3+1,110,30.0,Ankara,Çankaya,Yukarı Bahçelievler Mah.
27000,3+1,120,4.0,Ankara,Gölbaşı,Şafak Mah.
17500,3+1,145,20.0,Ankara,Keçiören,İncirli Mah.
29000,3+1,120,42.0,Ankara,Çankaya,Ayrancı Mah.
16250,3+1,120,7.0,Ankara,Mamak,Altıağaç Mah.
14500,3+1,120,20.0,Ankara,Keçiören,Bağlarbaşı Mah.
25000,3+1,135,12.0,Ankara,Altındağ,Gültepe Mah.
22000,3+1,110,25.0,Ankara,Altındağ,Aydınlıkevler Mah.
25000,3+1,125,24.0,Ankara,Çankaya,Harbiye Mah.
16000,1+1,57,,Ankara,Gölbaşı,İncek Mah.
35000,3+1,140,10.0,Ankara,Çankaya,Birlik Mah.
24000,3+1,90,37.0,Ankara,Çankaya,Emek Mah.
25000,3+1,110,25.0,Ankara,Çankaya,Ertuğrulgazi Mah.
17250,2+1,95,13.0,Ankara,Etimesgut,Turkuaz Mah.
37500,4+1,170,20.0,Ankara,Çankaya,Cevizlidere Mah.
13000,2+1,105,45.0,Ankara,Keçiören,Yakacık Mah.
45000,3+1,160,22.0,Ankara,Çankaya,Yıldızevler Mah.
29000,3+1,129,30.0,Ankara,Çankaya,İşçi Blokları Mah.
22000,2+1,90,25.0,Ankara,Etimesgut,Eryaman Mah.
24500,1+1,50,,Ankara,Gölbaşı,Taşpınar Mah.
20000,3+1,110,25.0,Ankara,Etimesgut,Atakent Mah.
45000,1+1,80,13.0,Ankara,Çankaya,Aziziye Mah.
25000,3+1,120,45.0,Ankara,Çankaya,Fakülteler Mah.
32000,3+1,115,30.0,Ankara,Yenimahalle,Beştepe Mah.
39000,4+1,200,30.0,Ankara,Çankaya,Oran Mah.
25000,3+1,130,11.0,Ankara,Etimesgut,Erler Mah.
44000,1+1,75,12.0,Ankara,Çankaya,Oran Mah.
20000,3+1,140,6.0,Ankara,Mamak,Cengizhan Mah.
40000,3+1,140,3.0,Ankara,Etimesgut,Devlet Mah.
27000,3+1,130,25.0,Ankara,Keçiören,Etlik Mah.
11250,1+1,65,15.0,Ankara,Mamak,Zirvekent Mah.
35000,4+1,210,12.0,Ankara,Yenimahalle,Pamuklar Mah.
20000,2+1,100,30.0,Ankara,Mamak,Balkiraz Mah.
12750,2+1,105,48.0,Ankara,Altındağ,Aydınlıkevler Mah.
30000,3+1,155,24.0,Ankara,Altındağ,Güneşevler Mah.
20000,3+1,140,13.0,Ankara,Sincan,Pınarbaşı Mah.
13000,3+1,100,30.0,Ankara,Keçiören,İncirli Mah.
20000,3+1,130,28.0,Ankara,Çankaya,Sokullu Mehmet Paşa Mah.
53000,5+1,173,20.0,Ankara,Çankaya,Prof. Dr. Ahmet Taner Kışlalı Mah.
13000,2+1,96,11.0,Ankara,Etimesgut,Yukarıyurtçu Mah.
16000,2+1,100,40.0,Ankara,Keçiören,Esertepe Mah.
33900,2+1,90,6.0,Ankara,Yenimahalle,Ergazi Mah.
22000,3+1,140,1.0,Ankara,Mamak,Derbent Mah.
20000,3+1,135,25.0,Ankara,Keçiören,Aşağı Eğlence Mah.
30000,4+2,180,20.0,Ankara,Mamak,Kutlu Mah.
19000,3+1,90,27.0,Ankara,Etimesgut,Tunahan Mah.
22000,2+1,95,15.0,Ankara,Sincan,Atatürk Mah.
15000,3+1,115,30.0,Ankara,Yenimahalle,Ergenekon Mah.
25250,1+1,55,1.0,Ankara,Gölbaşı,Taşpınar Mah.
19000,2+1,120,26.0,Ankara,Çankaya,Ata Mah.
20000,4+1,180,10.0,Ankara,Mamak,Akşemsettin Mah.
58000,4+1,290,5.0,Ankara,Çankaya,Alacaatlı Mah.
30000,1+1,70,6.0,Ankara,Çankaya,Alacaatlı Mah.
18500,1+1,55,28.0,Ankara,Etimesgut,Şeyh Şamil Mah.
41750,2+1,155,5.0,Ankara,Gölbaşı,Taşpınar Mah.
33000,2+1,100,1.0,Ankara,Gölbaşı,İncek Mah.
19000,3+1,125,20.0,Ankara,Keçiören,Yayla Mah.
