Title,Price (TL),Date,Location,Room,Size (m²),Building Age,Floor,Link,Page,Price per m² (TL)
"85 Square Meters Apartment For Rent in Çankaya, Ankara",32000,22-03-2025,Ankara / Çankaya / Emek Mah.,2+1,85,12.0,2.,https://www.hepsiemlak.com/en/ankara-cankaya-emek-kiralik/daire/116924-187,2,376.47058823529414
"230 Square Meters Apartment For Rent in Çankaya, Ankara",50000,08-03-2025,Ankara / Çankaya / Birlik Mah.,4+1,230,8.0,Top,https://www.hepsiemlak.com/en/ankara-cankaya-birlik-kiralik/daire/2430-9212,2,217.3913043478261
"90 Square Meters Apartment For Rent in Çankaya, Ankara",39500,22-03-2025,Ankara / Çankaya / İlkbahar Mah.,2+1,90,5.0,5.,https://www.hepsiemlak.com/en/ankara-cankaya-ilkbahar-kiralik/daire/76775-2993,2,438.8888888888889
"60 Square Meters Apartment For Rent in Çankaya, Ankara",2900,22-03-2025,Ankara / Çankaya / Çamlıtepe Mah.,1+1,60,1.0,4.,https://www.hepsiemlak.com/en/ankara-cankaya-camlitepe-kiralik/daire/153001-15,2,48.333333333333336
"125 Square Meters Apartment For Rent in Keçiören, Ankara",19500,18-03-2025,Ankara / Keçiören / Güçlükaya Mah.,3+1,125,30.0,1.,https://www.hepsiemlak.com/en/ankara-kecioren-guclukaya-kiralik/daire/2841-29375,2,156.0
"105 Square Meters Apartment For Rent in Keçiören, Ankara",15000,07-03-2025,Ankara / Keçiören / Şefkat Mah.,2+1,105,30.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-kecioren-sefkat-kiralik/daire/2841-29311,2,142.85714285714286
"85 Square Meters Apartment For Rent in Keçiören, Ankara",15000,07-03-2025,Ankara / Keçiören / Şenlik Mah.,11+1,85,30.0,Underground 1,https://www.hepsiemlak.com/en/ankara-kecioren-senlik-kiralik/daire/2841-29355,2,176.47058823529412
"110 Square Meters Apartment For Rent in Keçiören, Ankara",13500,21-03-2025,Ankara / Keçiören / Güçlükaya Mah.,3+1,110,30.0,1.,https://www.hepsiemlak.com/en/ankara-kecioren-guclukaya-kiralik/daire/2841-29380,2,122.72727272727273
"125 Square Meters Apartment For Rent in Çankaya, Ankara",26000,22-03-2025,Ankara / Çankaya / Bahçelievler Mah.,3+1,125,30.0,1.,https://www.hepsiemlak.com/en/ankara-cankaya-bahcelievler-kiralik/daire/3584-28565,2,208.0
"90 Square Meters Apartment For Rent in Çankaya, Ankara",15000,21-03-2025,Ankara / Çankaya / Ertuğrulgazi Mah.,2+1,90,40.0,1.,https://www.hepsiemlak.com/en/ankara-cankaya-ertugrulgazi-kiralik/daire/88574-593,2,166.66666666666666
"180 Square Meters Apartment For Rent in Çankaya, Ankara",26000,21-03-2025,Ankara / Çankaya / Öveçler Mah.,5+1,180,16.0,Top,https://www.hepsiemlak.com/en/ankara-cankaya-ovecler-kiralik/daire/9417-2345,2,144.44444444444446
"75 Square Meters Apartment For Rent in Gölbaşı, Ankara",32000,21-03-2025,Ankara / Gölbaşı / Seğmenler Mah.,1+1,75,,Middle,https://www.hepsiemlak.com/en/ankara-golbasi-segmenler-kiralik/daire/9365-267,2,426.6666666666667
"85 Square Meters Apartment For Rent in Gölbaşı, Ankara",28500,21-03-2025,Ankara / Gölbaşı / Seğmenler Mah.,2+1,85,4.0,2.,https://www.hepsiemlak.com/en/ankara-golbasi-segmenler-kiralik/daire/9365-293,2,335.29411764705884
"90 Square Meters Apartment For Rent in Çankaya, Ankara",30000,21-03-2025,Ankara / Çankaya / Hilal Mah.,2+1,90,5.0,Terrace,https://www.hepsiemlak.com/en/ankara-cankaya-hilal-kiralik/daire/8006-1219,2,333.3333333333333
"135 Square Meters Apartment For Rent in Çankaya, Ankara",30000,18-03-2025,Ankara / Çankaya / Cevizlidere Mah.,3+1,135,20.0,1.,https://www.hepsiemlak.com/en/ankara-cankaya-cevizlidere-kiralik/daire/6171-6802,2,222.22222222222223
"130 Square Meters Apartment For Rent in Polatlı, Ankara",13650,21-03-2025,Ankara / Polatlı / Zafer Mah.,3+1,130,25.0,1.,https://www.hepsiemlak.com/en/ankara-polatli-zafer-kiralik/daire/151732-4,2,105.0
"90 Square Meters Apartment For Rent in Çankaya, Ankara",30000,21-03-2025,Ankara / Çankaya / Yukarı Bahçelievler Mah.,2+1,90,55.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-cankaya-yukari-bahcelievler-kiralik/daire/1124-6011,2,333.3333333333333
"60 Square Meters Apartment For Rent in Çankaya, Ankara",25000,21-03-2025,Ankara / Çankaya / Büyükesat Mah.,1+1,60,1.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-cankaya-buyukesat-kiralik/daire/1248-2413,2,416.6666666666667
"110 Square Meters Apartment For Rent in Keçiören, Ankara",16500,21-03-2025,Ankara / Keçiören / Emrah Mah.,3+1,110,30.0,Middle,https://www.hepsiemlak.com/en/ankara-kecioren-emrah-kiralik/daire/111176-2391,2,150.0
"160 Square Meters Apartment For Rent in Çankaya, Ankara",47000,21-03-2025,Ankara / Çankaya / Bahçelievler Mah.,3+1,160,7.0,3.,https://www.hepsiemlak.com/en/ankara-cankaya-bahcelievler-kiralik/daire/3584-28564,2,293.75
"170 Square Meters Apartment For Rent in Çankaya, Ankara",1250,21-03-2025,Ankara / Çankaya / Çamlıtepe Mah.,2+1,170,1.0,3.,https://www.hepsiemlak.com/en/ankara-cankaya-camlitepe-kiralik/daire/101007-50,2,7.352941176470588
"135 Square Meters Apartment For Rent in Çankaya, Ankara",28000,22-03-2025,Ankara / Çankaya / Öveçler Mah.,3+1,135,17.0,2.,https://www.hepsiemlak.com/en/ankara-cankaya-ovecler-kiralik/daire/3240-14168,2,207.40740740740742
"95 Square Meters Apartment For Rent in Çankaya, Ankara",35000,21-03-2025,Ankara / Çankaya / Güzeltepe Mah.,2+1,95,29.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-cankaya-guzeltepe-kiralik/daire/2533-2149,2,368.42105263157896
"140 Square Meters Apartment For Rent in Çankaya, Ankara",42000,21-03-2025,Ankara / Çankaya / Emek Mah.,3+1,140,20.0,Middle,https://www.hepsiemlak.com/en/ankara-cankaya-emek-kiralik/daire/2533-2666,2,300.0
"125 Square Meters Apartment For Rent in Altındağ, Ankara",20000,21-03-2025,Ankara / Altındağ / Aydınlıkevler Mah.,3+1,125,40.0,Terrace,https://www.hepsiemlak.com/en/ankara-altindag-aydinlikevler-kiralik/daire/123227-769,3,160.0
